YEAR,METEOROLOGICAL DROUGHT,HYDROLOGICAL DROUGHT,AGRICULTURAL DROUGHT,AREA UNDER CULTIVATION,YIELD
1966,0.5,1.19,0.05,123899,311835
1967,1.93,-0.05,2.13,187162,416055
1968,-1.23,-0.15,-1.46,133730,412360
1969,0.42,-0.39,0.54,209490,524390
1970,0.91,0.02,0.53,134751,486546
1971,-0.96,-0.64,-1.06,151624,427320
1972,0.16,0.8,0.59,188301,476680
1973,0.82,0.18,1.14,163669,496660
1974,-0.85,0.52,-1.07,156757,523510
1975,-0.44,1.6,-0.59,120429,306320
1976,-0.58,1,0.08,178377,324620
1977,1.38,-0.32,1.35,109435,326710
1978,1.89,-0.13,2.25,102501,424700
1979,0.21,-1.07,-0.03,95683,371180
1980,-2.26,-0.16,-0.69,94391,346516
1981,1.08,-0.81,0.64,83234,293325
1982,-0.71,-0.81,-0.85,61693,130615
1983,-1.32,0.46,-1.32,56409,167056
1984,-0.76,1.72,-0.42,81105,218787
1985,-1.45,1.09,-0.76,165668,350310
1986,-0.5,0.85,0.4,159899,321830
1987,1.62,0.44,1.54,187162,417050
1988,-1.69,-0.01,0.17,183730,412360
1989,0.13,0.47,0.52,209490,624390
1990,0.12,-1.09,-0.62,184751,486630
1991,0.11,-0.56,0.12,151624,427320
1992,0.87,0.01,0.99,168301,510680
1993,0.87,0.11,1.04,163669,492960
1994,0.34,-1.08,-0.46,153357,543510
1995,-1.46,1.11,-0.44,120429,306320
1996,0.31,-1.08,0.39,102377,324620
1997,0.79,-0.27,-0.29,99435,329310
1998,1.15,0.31,1.66,102501,424700
1999,-1.03,-0.53,-1.12,95483,378880
2000,-0.55,1.04,0.12,94391,346516
2001,0.05,0.94,-0.47,83954,290325
2002,0.53,-0.23,-0.19,61693,130615
2003,-0.66,-0.67,-0.52,43409,184056
2004,-0.11,-0.01,0.12,81105,218027
2005,1.54,-1.19,0.73,93743,258344
2006,-0.09,0.14,-0.53,88758,292721
2007,0.92,-0.15,0.16,85231,246107
2008,-0.08,-0.49,0.52,92270,299545
2009,-0.58,0.92,-0.26,72934,240347
2010,1.75,-0.79,1.52,82115,298831
2011,1.33,-1.05,0.78,87203,356795
2012,-1.27,2.67,-1.19,34913,191079
