YEAR,METEOROLOGICAL DROUGHT,HYDROLOGICAL DROUGHT,AGRICULTURAL DROUGHT,AREA UNDER CULTIVATION,YIELD
1966,0.5,1.19,0.05,1024,1450
1967,1.93,-0.05,2.13,1442,860
1968,-1.23,-0.15,-1.46,1028,1340
1969,0.42,-0.39,0.54,1251,2460
1970,0.91,0.02,0.53,1369,3290
1971,-0.96,-0.64,-1.06,1679,3319
1972,0.16,0.8,0.59,3340,7130
1973,0.82,0.18,1.14,1609,3210
1974,-0.85,0.52,-1.07,2151,3990
1975,-0.44,1.6,-0.59,3171,4810
1976,-0.58,1,0.08,1230,1860
1977,1.38,-0.32,1.35,1306,1320
1978,1.89,-0.13,2.25,1411,1920
1979,0.21,-1.07,-0.03,767,1530
1980,-2.26,-0.16,-0.69,1093,1788
1981,1.08,-0.81,0.64,1246,1194
1982,-0.71,-0.81,-0.85,914,1233
1983,-1.32,0.46,-1.32,796,1591
1984,-0.76,1.72,-0.42,1026,1337
1985,-1.45,1.09,-0.76,1023,1390
1986,-0.5,0.85,0.4,1224,1810
1987,1.62,0.44,1.54,1242,860
1988,-1.69,-0.01,0.17,1448,1500
1989,0.13,0.47,0.52,1251,2460
1990,0.12,-1.09,-0.62,1769,3480
1991,0.11,-0.56,0.12,1679,3300
1992,0.87,0.01,0.99,3430,7130
1993,0.87,0.11,1.04,1609,3210
1994,0.34,-1.08,-0.46,2351,4690
1995,-1.46,1.11,-0.44,3101,6210
1996,0.31,-1.08,0.39,130,260
1997,0.79,-0.27,-0.29,306,620
1998,1.15,0.31,1.66,311,620
1999,-1.03,-0.53,-1.12,763,1530
2000,-0.55,1.04,0.12,393,788
2001,0.05,0.94,-0.47,246,494
2002,0.53,-0.23,-0.19,614,1233
2003,-0.66,-0.67,-0.52,794,1591
2004,-0.11,-0.01,0.12,826,1657
2005,1.54,-1.19,0.73,1471,1681
2006,-0.09,0.14,-0.53,2014,5653
2007,0.92,-0.15,0.16,4359,11557
2008,-0.08,-0.49,0.52,4608,15014
2009,-0.58,0.92,-0.26,4553,14042
2010,1.75,-0.79,1.52,3848,15238
2011,1.33,-1.05,0.78,5722,24586
2012,-1.27,2.67,-1.19,7033,14740
