YEAR,METEOROLOGICAL DROUGHT,HYDROLOGICAL DROUGHT,AGRICULTURAL DROUGHT,AREA UNDER CULTIVATION,YIELD
1966,0.5,1.19,0.05,121618,236945
1967,1.93,-0.05,2.13,104028,333480
1968,-1.23,-0.15,-1.46,97725,331523
1969,0.42,-0.39,0.54,132547,514380
1970,0.91,0.02,0.53,123449,403456
1971,-0.96,-0.64,-1.06,102537,363750
1972,0.16,0.8,0.59,156334,442765
1973,0.82,0.18,1.14,117003,431600
1974,-0.85,0.52,-1.07,134961,474676
1975,-0.44,1.6,-0.59,88917,266060
1976,-0.58,1,0.08,119711,299356
1977,1.38,-0.32,1.35,83061,314380
1978,1.89,-0.13,2.25,145230,279870
1979,0.21,-1.07,-0.03,82325,365234
1980,-2.26,-0.16,-0.69,103905,325000
1981,1.08,-0.81,0.64,68131,277890
1982,-0.71,-0.81,-0.85,78959,112171
1983,-1.32,0.46,-1.32,64934,145024
1984,-0.76,1.72,-0.42,98368,196583
1985,-1.45,1.09,-0.76,97460,279220
1986,-0.5,0.85,0.4,84618,236900
1987,1.62,0.44,1.54,104028,333480
1988,-1.69,-0.01,0.17,103725,330550
1989,0.13,0.47,0.52,132547,514380
1990,0.12,-1.09,-0.62,119149,409550
1991,0.11,-0.56,0.12,102537,363750
1992,0.87,0.01,0.99,116334,443030
1993,0.87,0.11,1.04,117003,431600
1994,0.34,-1.08,-0.46,114961,472700
1995,-1.46,1.11,-0.44,88917,266060
1996,0.31,-1.08,0.39,84711,299270
1997,0.79,-0.27,-0.29,83061,314380
1998,1.15,0.31,1.66,87230,409870
1999,-1.03,-0.53,-1.12,82325,365050
2000,-0.55,1.04,0.12,76905,325000
2001,0.05,0.94,-0.47,68131,271590
2002,0.53,-0.23,-0.19,43959,112171
2003,-0.66,-0.67,-0.52,23934,65024
2004,-0.11,-0.01,0.12,60368,196583
2005,1.54,-1.19,0.73,70996,234492
2006,-0.09,0.14,-0.53,67230,267518
2007,0.92,-0.15,0.16,61864,214880
2008,-0.08,-0.49,0.52,66699,267228
2009,-0.58,0.92,-0.26,50986,203616
2010,1.75,-0.79,1.52,61064,260055
2011,1.33,-1.05,0.78,65635,304235
2012,-1.27,2.67,-1.19,18024,65000
